1,1:15
2,16:34
3,35:54
4,55:74
5,75:98
6,99:109
7,110:133
8,134:184
9,185:206
10,207:249
11,250:264
12,265:294
13,295:320
14,321:345
15,346:395
17,396:422
18,423:514
19,515:547
20,548:553
21,554:619
22,620:686
23,687:828
24,829:858
25,859:957
26,958:1022
27,1023:1103
28,1104:1123
29,1124:1166
30,1167:1205
31,1206:1267
32,1268:1304
33,1305:1336
34,1337:1389
35,1390:1430
36,1431:1496
37,1497:1533
38,1534:1595
39,1596:1650
40,1651:1710
41,1711:1742
42,1743:1776
43,1777:1812
44,1813:1845
45,1846:1893
46,1894:1913
47,1914:1945
48,1946:1969
49,1970:1996
50,1997:2024
51,2025:2052
52,2053:2076
53,2077:2131
54,2132:2161
55,2162:2200
